PERMNO,date,RET
10138,2009-01-30,-0.221783
10138,2009-02-27,-0.175489
10138,2009-03-31,0.280123
10138,2009-04-30,0.334719
10138,2009-05-29,0.053219
10138,2009-06-30,0.033276
10138,2009-07-31,0.120950
10138,2009-08-31,-0.030186
10138,2009-09-30,0.014349
10138,2009-10-30,0.066302
10138,2009-11-30,0.004104
10138,2009-12-31,0.093399
10138,2010-01-29,-0.068169
10138,2010-02-26,0.021564
10138,2010-03-31,0.089761
10138,2010-04-30,0.046753
10138,2010-05-28,-0.139381
10138,2010-06-30,-0.098142
10138,2010-07-30,0.086506
10138,2010-08-31,-0.092059
10138,2010-09-30,0.149463
10138,2010-10-29,0.103965
10138,2010-11-30,0.055365
10138,2010-12-31,0.111092
10138,2011-01-31,0.021382
10138,2011-02-28,0.016080
10138,2011-03-31,-0.003733
10138,2011-04-29,-0.032671
10138,2011-05-31,-0.014786
10138,2011-06-30,-0.041864
10138,2011-07-29,-0.058668
10138,2011-08-31,-0.058451
10138,2011-09-30,-0.100972
10138,2011-10-31,0.106134
10138,2011-11-30,0.074186
10138,2011-12-30,0.008809
10138,2012-01-31,0.015628
10138,2012-02-29,0.064834
10138,2012-03-30,0.065757
10138,2012-04-30,-0.033461
10138,2012-05-31,-0.087539
10138,2012-06-29,0.099149
10138,2012-07-31,-0.035102
10138,2012-08-31,0.011358
10138,2012-09-28,0.035807
10138,2012-10-31,0.024960
10138,2012-11-30,-0.003237
10138,2012-12-31,0.027634
10138,2013-01-31,0.096640
10138,2013-02-28,-0.003081
10138,2013-03-28,0.057030
10138,2013-04-30,-0.031655
10138,2013-05-31,0.047035
10138,2013-06-28,-0.030694
10138,2013-07-31,0.027869
10138,2013-08-30,-0.067783
10138,2013-09-30,0.030938
10138,2013-10-31,0.076185
10138,2013-11-29,0.039401
10138,2013-12-31,0.045861
10138,2014-01-31,-0.063627
10138,2014-02-28,0.034804
10138,2014-03-31,0.019958
10138,2014-04-30,-0.002672
10138,2014-05-30,-0.007305
10138,2014-06-30,0.040721
10138,2014-07-31,-0.079967
10138,2014-08-29,0.042944
10138,2014-09-30,-0.026607
10138,2014-10-31,0.047066
10138,2014-11-28,0.016811
10138,2014-12-31,0.033904
10138,2015-01-30,-0.083159
10138,2015-02-27,0.049289
10138,2015-03-31,-0.013317
10138,2015-04-30,0.027167
10138,2015-05-29,-0.006036
10138,2015-06-30,-0.030239
10138,2015-07-31,-0.007719
10138,2015-08-31,-0.068067
10138,2015-09-30,-0.025876
10138,2015-10-30,0.088058
10138,2015-11-30,0.007009
10138,2015-12-31,-0.054366
10138,2016-01-29,-0.007554
10138,2016-02-29,-0.025934
10138,2016-03-31,0.070757
10138,2016-04-29,0.024912
10138,2016-05-31,0.023509
10138,2016-06-30,-0.046068
10138,2016-07-29,-0.031246
10138,2016-08-31,-0.016268
10138,2016-09-30,-0.035951
10138,2016-10-31,-0.037444
10138,2016-11-30,0.157007
10138,2016-12-30,0.023495
10138,2017-01-31,-0.103906
10138,2017-02-28,0.055901
10138,2017-03-31,-0.034967
10138,2017-04-28,0.040205
10138,2017-05-31,-0.006348
10138,2017-06-30,0.061613
10138,2017-07-31,0.114675
10138,2017-08-31,0.019826
10138,2017-09-29,0.081318
10138,2017-10-31,0.024821
10138,2017-11-30,0.107858
10138,2017-12-29,0.025068
10138,2018-01-31,0.063852
10138,2018-02-28,0.002419
10138,2018-03-29,-0.028865
10138,2018-04-30,0.054182
10138,2018-05-31,0.066772
10138,2018-06-29,-0.038132
10138,2018-07-31,0.025756
10138,2018-08-31,-0.026789
10138,2018-09-28,-0.051860
10138,2018-10-31,-0.111651
10138,2018-11-30,0.024436
10138,2018-12-31,-0.063808
10138,2019-01-31,0.012348
10138,2019-02-28,0.074577
10138,2019-03-29,0.004481
10138,2019-04-30,0.073712
10138,2019-05-31,-0.059163
10138,2019-06-28,0.092248
10138,2019-07-31,0.033543
10138,2019-08-30,-0.024429
10138,2019-09-30,0.039685
10138,2019-10-31,0.013567
10138,2019-11-29,0.067012
10138,2019-12-31,-0.007770
10138,2020-01-31,0.095946
10138,2020-02-28,-0.116229
10138,2020-03-31,-0.164901
10138,2020-04-30,0.184127
10138,2020-05-29,0.045576
10138,2020-06-30,0.028950
10138,2020-07-31,0.118219
10138,2020-08-31,0.008038
10138,2020-09-30,-0.072480
10138,2020-10-30,-0.012167
10138,2020-11-30,0.132244
10138,2020-12-31,0.061920
10138,2021-01-29,0.033622
10138,2021-02-26,0.036171
10138,2021-03-31,0.065006
10138,2021-04-30,0.044289
10138,2021-05-28,0.067801
10138,2021-06-30,0.055918
10138,2021-07-30,0.031267
10138,2021-08-31,0.096542
10138,2021-09-30,-0.116541
10138,2021-10-29,0.102593
10138,2021-11-30,-0.078062
10138,2021-12-31,-0.011153
10138,2022-01-31,-0.214656
10138,2022-02-28,-0.063912
10138,2022-03-31,0.054164
10138,2022-04-29,-0.186190
10138,2022-05-31,0.032916
10138,2022-06-30,-0.096624
10138,2022-07-29,0.086788
10138,2022-08-31,-0.028104
10138,2022-09-30,-0.114917
10138,2022-10-31,0.010951
10138,2022-11-30,0.176620
10138,2022-12-30,-0.117284
10138,2023-01-31,0.067944
10138,2023-02-28,-0.035975
10138,2023-03-31,0.016388
10138,2023-04-28,-0.005049
10138,2023-05-31,-0.046025
10138,2023-06-30,0.056738
10138,2023-07-31,0.100339
10138,2023-08-31,-0.089486
10138,2023-09-29,-0.054709
10138,2023-10-31,-0.137027
10138,2023-11-30,0.106409
10138,2023-12-29,0.087686
10138,2024-01-31,0.007057
10145,1999-01-29,-0.119887
10145,1999-02-26,0.065256
